繁體	简体	吳拼	出處	備註
狂	狂	guaon2	1	
逛	逛	guaon6	2	
滉	滉	guaon6	3	
荒	荒	huaon1	1	
慌	慌	huaon1	2	
况	况	huaon1	2	
況	况	huaon1	2	
恍	恍	huaon3	2	
怳	恍	huaon3	2	
晃	晃	huaon3	2	
謊	谎	huaon3	2	
王	王	waon2	1	
黃	黄	waon2	1	
黄	黄	waon2	1	
簧	簧	waon2	1	
璜	璜	waon2	2	
潢	潢	waon2	2	
蟥	蟥	waon2	1	
皇	皇	waon2	2	
蝗	蝗	waon2	2	
惶	惶	waon2	1	
凰	凰	waon2	2	
隍	隍	waon2	1	
旺	旺	waon6	1	
滉	滉	waon6	1	
望	望	uaon1	1	僅限於「張記望記」一詞
朢	望	uaon1	1	僅限於「張記望記」一詞
汪	汪	uaon1	1	
往	往	uaon3	2	
徃	往	uaon3	2	
黃	黄	uaon3	1	「黃」在「蟹黃」、「蛋黃」、「卵黃」中讀零聲母陰上調
黄	黄	uaon3	1	「黃」在「蟹黃」、「蛋黃」、「卵黃」中讀零聲母陰上調
曂	曂	uaon5	1	曂亮
枉	枉	uaon5	1	
降	降	ciaon5	2	降落傘
搬	搬	pun1	1	
半	半	pun5	1	
潘	潘	phun1	2	
盤	盘	phun1	1	又音 全部貨物折價一次出售
半	半	phun5	1	僅限於「半個」
判	判	phun5	5	
判	判	bun2	5	又音 全部貨物折價一次出售
盤	盘	bun2	1	
蟠	蟠	bun2	1	
磐	盘	bun2	1	
叛	叛	bun2	2	
耙	耙	bun2	3	又音 僅限於「火耙」
婆	婆	bun2	1	兒化
伴	伴	bun6	1	
拌	拌	bun6	1	
絆	绊	bun6	2	
瞞	瞒	mun2	2	
饅	馒	mun2	1	
鰻	鳗	mun2	1	
鞔	鞔	mun2	1	
滿	满	mun6	1	
満	满	mun6	1	
漫	漫	mun6	3	水漲；淹沒
㒼	㒼	mun6	1	將孔、縫等用物填封
墁	墁	mun6	1	泥墁
鏝	镘	mun6	3	泥鏝板
官	官	kun1	1	
棺	棺	kun1	1	
倌	倌	kun1	1	
觀	观	kun1	1	
観	观	kun1	1	
冠	冠	kun1	2	
館	馆	kun3	1	
舘	馆	kun3	1	
管	管	kun3	1	
筦	管	kun3	1	
脘	脘	kun3	3	
灌	灌	kun5	1	
罐	罐	kun5	1	
鑵	罐	kun5	1	
貫	贯	kun5	2	
冠	冠	kun5	2	冠軍
寬	宽	khun1	1	
寛	宽	khun1	1	
款	款	khun3	2	
欵	款	khun3	2	
窾	窾	khun3	4	
歡	欢	hun1	1	
歓	欢	hun1	1	
懽	欢	hun1	1	
驩	欢	hun1	1	
花	花	hun1	1	兒化音殘留，表小稱，愛稱，限「奶花」一詞
昏	昏	hun1	3	又音 僅限於「黃昏頭」
昬	昏	hun1	3	又音 僅限於「黃昏頭」
奐	奂	hun5	2	
喚	唤	hun5	1	
渙	涣	hun5	2	
煥	焕	hun5	2	
丸	丸	wun2	1	
完	完	wun2	2	
桓	桓	wun2	2	
緩	缓	wun6	1	
援	援	wun6	2	
換	换	wun6	1	
腕	腕	un1	2	
剜	剜	un1	2	
豌	豌	un1	2	
宛	宛	un3	2	
婉	婉	un3	2	
碗	碗	un3	1	
椀	碗	un3	1	
盌	碗	un3	1	
皖	皖	un3	2	
莞	莞	un3	2	莞爾
畚	畚	pen1	1	
本	本	pen3	1	
撥俉	拨俉	pen3	1	合音
奔	奔	pen5	1	
犇	奔	pen5	1	
逩	奔	pen5	1	
崩	崩	pen5	2	文讀
噴	喷	phen1	1	
烹	烹	phen1	2	文讀
盆	盆	ben2	1	
坌	坌	ben2	1	撥開（土、灰等爛泥）
笨	笨	ben6	1	
捹	捹	ben6	3	撥開（土、灰等爛泥）
門	门	men2	1	
們	们	men2	2	
悶	闷	men2	3	牛羊等不會生育
盟	盟	men2	2	
萌	萌	men2	2	
蚊	蚊	men2	1	白讀
螡	蚊	men2	1	白讀
蟁	蚊	men2	1	白讀
蜈	蜈	men2	2	白讀
明	明	men2	3	僅限於「明朝」
問	问	men6	1	白讀
捫	扪	men6	1	
悶	闷	mhen5	1	
燜	焖	mhen5	1	
捫	扪	mhen5	1	又音
分	分	fen1	1	
芬	芬	fen1	2	
紛	纷	fen1	2	
鋒	锋	fen1	3	僅限於「鋒快」
粉	粉	fen3	1	
奮	奋	fen5	2	
糞	粪	fen5	1	
文	文	ven2	1	
墳	坟	ven2	1	
紋	纹	ven2	1	
蚊	蚊	ven2	2	文讀
螡	蚊	ven2	2	文讀
蟁	蚊	ven2	2	文讀
雯	雯	ven2	2	
炆	炆	ven2	2	
紊	紊	ven2	2	
聞	闻	ven2	2	
問	问	ven2	2	文讀
甮	甮	ven2	1	「勿用」的合音詞，表示勸阻或禁止
焚	焚	ven2	2	
氛	氛	ven2	2	
雰	氛	ven2	2	
忿	忿	ven2	2	
逢	逢	ven2	4	
吻	吻	ven6	2	
脗	吻	ven6	2	
刎	刎	ven6	2	
坋	坋	ven6	4	地坋
份	份	ven6	1	
憤	愤	ven6	1	
登	登	ten1	1	
燈	灯	ten1	1	
瞪	瞪	ten1	2	
鐙	镫	ten1	2	
膯	膯	ten1	3	禽類的嗉囊
𩍐	𩍐	ten1	4	
敦	敦	ten1	1	
墩	墩	ten1	1	
墪	墩	ten1	1	
礅	礅	ten1	2	
蹲	蹲	ten1	2	
等	等	ten3	1	
戥	戥	ten3	1	用手托着東西上下晃動來估量輕重
躉	趸	ten3	1	躉注
頂	顶	ten3	1	
頓	顿	ten5	1	
訰	訰	ten5	3	
凳	凳	ten5	1	
櫈	凳	ten5	1	
燉	炖	ten5	1	
敦	敦	ten5	1	①動詞：豎立；挺。②形容詞，直。
撉	撉	ten5	2	撉撉齊
澄	澄	ten5	2	
膯	膯	ten5	1	滯膯
吞	吞	then1	1	
氽	氽	then3	1	
褪	褪	then5	3	
豚	豚	den2	1	
屯	屯	den2	2	
庉	庉	den2	1	
囤	囤	den2	2	
飩	饨	den2	1	
沌	沌	den2	2	
疼	疼	den2	2	
滕	滕	den2	2	
藤	藤	den2	1	
籐	藤	den2	1	
騰	腾	den2	1	
謄	誊	den2	1	
臀	臀	den2	1	
臋	臀	den2	1	
鄧	邓	den2	2	
遁	遁	den2	2	
遯	遁	den2	2	
𨄇	𨄇	den6	3	
鈍	钝	den6	1	
扽	扽	den6	1	手伸進去摸取東西
能	能	nen2	1	
嫩	嫩	nen6	1	
嫰	嫩	nen6	1	
抍	抍	nhen1	2	抍上去
掄	抡	nhen1	3	舉
能	能	nhen5	3	僅限於「能頭」「能能」
倫	伦	len2	2	
侖	仑	len2	2	
崙	仑	len2	2	
崘	仑	len2	2	
淪	沦	len2	2	
輪	轮	len2	1	
惀	𰑄	len2	1	想；估量
圇	囵	len2	1	囫圇
倰	倰	len2	1	狹倰倰
薐	薐	len2	1	
𦼊	𦼊	len2	3	
菱	菱	len2	4	又音
㔂	㔂	len2	3	刮去（樹皮、竹節）
㨆	㨆	len2	3	刮去（樹皮、竹節）
論	论	len6	2	
棱	棱	len6	2	
稜	棱	len6	2	
楞	楞	len6	1	
愣	愣	len6	1	
曾	曾	tsen1	2	姓
曽	曽	tsen1	2	姓
增	增	tsen1	2	
増	增	tsen1	2	
憎	憎	tsen1	1	
甑	甑	tsen1	1	陶器，口大於底，壁斜，口緣較厚，質粗厚而黃黑，一般盛菜肴用
朕	朕	tsen1	2	
尊	尊	tsen1	1	
遵	遵	tsen1	2	
斟	斟	tsen1	2	又音
爭	争	tsen1	2	文讀
箏	筝	tsen1	2	
掙	挣	tsen1	2	文讀
睜	睁	tsen1	2	文讀
臻	臻	tsen1	2	
榛	榛	tsen1	2	
捘	捘	tsen3	1	用手擠壓
怎	怎	tsen5	2	
參	参	tshen1	2	參差
瞋	嗔	tshen1	3	
嗔	嗔	tshen1	3	
忖	忖	tshen3	1	
村	村	tshen5	2	
邨	村	tshen5	2	
寸	寸	tshen5	1	
襯	衬	tshen5	1	
存	存	dzen2	1	
曾	曾	dzen2	2	
贈	赠	dzen2	2	
生	生	sen1	1	文讀
牲	牲	sen1	1	文讀
甥	甥	sen1	2	文讀
笙	笙	sen1	2	
孫	孙	sen1	1	
遜	逊	sen1	2	
僧	僧	sen1	2	
森	森	sen1	1	
參	参	sen1	1	人參
蔘	参	sen1	1	人參
葠	参	sen1	1	人參
蓡	参	sen1	1	人參
猻	狲	sen1	1	活猻
聲	声	sen1	3	僅限於「回聲」
損	损	sen3	2	
滲	渗	sen5	1	
䚮	䚮	zen2	1	形容厚的樣子
層	层	zen2	1	
層	层	zen6	3	又音
根	根	ken1	1	
跟	跟	ken1	1	
耕	耕	ken1	2	文讀
更	更	ken1	2	更換
亙	亘	ken1	2	
亘	亘	ken1	2	
根	根	ken3	2	量詞
肯	肯	khen3	1	
肎	肯	khen3	1	
啃	啃	khen3	1	
懇	恳	khen3	2	
墾	垦	khen3	2	
掯	掯	khen3	1	掯腦子卜
哏	哏	khen3	3	形容咳嗽聲
哏	哏	gen2	3	又音，形容咳嗽聲
艮	艮	gen6	1	性情執拗，言行生硬
𨆪	𫏕	gen6	2	一腳着地跳着行進
狠	狠	hen3	1	
很	很	hen3	2	
洵	洵	hen5	1	手捏鼻子，用氣排出鼻涕
擤	擤	hen5	3	捏住鼻子，用氣排出鼻涕
脪	脪	hen5	1	
浫	浫	hen5	1	液體被物吸收並滲透
臖	臖	hen5	3	
狠	狠	hen5	3	訓斥
衡	衡	ghen2	2	
恒	恒	ghen2	2	
恆	恒	ghen2	2	
痕	痕	ghen2	1	
恨	恨	ghen6	2	
恩	恩	en1	2	
嗯	嗯	en1	3	
冰	冰	pin1	1	
氷	冰	pin1	1	
兵	兵	pin1	2	
賓	宾	pin1	2	
濱	滨	pin1	2	
檳	槟	pin1	2	
殯	殡	pin1	2	
嬪	嫔	pin1	1	
彬	彬	pin1	2	
斌	斌	pin1	2	
丙	丙	pin3	1	
鈵	鈵	pin3	1	兩邊鈵住了
餅	饼	pin3	1	
秉	秉	pin3	2	
禀	禀	pin3	2	
稟	禀	pin3	2	
屏	屏	pin3	2	屏氣
并	并	pin3	1	
併	并	pin3	1	
鬢	鬓	pin5	3	
柄	柄	pin5	1	
乒	乒	phin1	1	
姘	姘	phin1	1	
拼	拼	phin1	1	
品	品	phin3	1	
聘	聘	phin3	1	
併	并	phin3	1	打併
平	平	bin2	1	
評	评	bin2	1	
坪	坪	bin2	1	
屏	屏	bin2	1	
萍	萍	bin2	2	
憑	凭	bin2	1	
凴	凭	bin2	1	
貧	贫	bin2	2	
瀕	濒	bin2	2	
蘋	苹	bin2	1	
苹	苹	bin2	2	
頻	频	bin2	2	
瓶	瓶	bin2	1	
缾	瓶	bin2	1	
並	并	bin6	2	
竝	并	bin6	2	
病	病	bin6	1	
閩	闽	min2	2	
明	明	min2	1	
朙	明	min2	1	
眀	明	min2	1	
萌	萌	min2	2	白讀
盟	盟	min2	2	白讀
民	民	min2	2	
鳴	鸣	min2	2	
名	名	min2	1	
銘	铭	min2	2	
冥	冥	min2	2	
瞑	瞑	min2	2	
溟	溟	min2	2	
螟	螟	min2	2	
憫	悯	min2	2	
皿	皿	min2	2	
䐇	䐇	min6	1	合攏
敏	敏	min6	2	
抿	抿	min6	1	抿子
命	命	min6	1	
泯	泯	min6	2	
冺	泯	min6	2	
丁	丁	tin1	1	
釘	钉	tin1	1	名詞
盯	盯	tin1	2	
叮	叮	tin1	1	
疔	疔	tin1	1	
汀	汀	tin1	1	水汀
頂	顶	tin3	1	
鼎	鼎	tin3	2	
濎	濎	tin5	1	沉澱
澄	澄	tin5	3	使水中雜質沉下去
釘	钉	tin5	2	動詞
訂	订	tin5	2	
汀	汀	thin1	2	
聽	听	thin1	1	
聴	听	thin1	1	
聼	听	thin1	1	
廳	厅	thin1	2	
桯	桯	thin1	1	牀桯
挺	挺	thin3	1	
艇	艇	thin3	2	
廷	廷	din2	2	
庭	庭	din2	1	
蜓	蜓	din2	1	
霆	霆	din2	2	
亭	亭	din2	2	
停	停	din2	1	
成	成	din2	3	又音 僅限於「成糖」
定	定	din6	1	
錠	锭	din6	1	
靈	灵	lin2	1	
霊	灵	lin2	1	
灵	灵	lin2	1	
菱	菱	lin2	1	
蓤	菱	lin2	1	
陵	陵	lin2	2	
凌	凌	lin2	1	
淩	淩	lin2	1	
綾	绫	lin2	2	
粦	磷	lin2	2	
磷	磷	lin2	2	化學元素
燐	磷	lin2	2	
鄰	邻	lin2	1	
隣	邻	lin2	1	
麟	麟	lin2	2	
麐	麟	lin2	2	
㔂	㔂	lin2	3	刮去（魚鱗）
鱗	鳞	lin2	1	
疄	疄	lin2	1	
零	零	lin2	1	
鈴	铃	lin2	1	
伶	伶	lin2	2	
翎	翎	lin2	1	
檁	檩	lin2	2	
檩	檩	lin2	2	
臨	临	lin2	1	
吝	吝	lin2	2	
恡	吝	lin2	2	
林	林	lin2	1	
淋	淋	lin2	1	
痳	淋	lin2	2	
琳	琳	lin2	2	
㨆	㨆	lin2	3	刮去（魚鱗）
輪	轮	lin2	3	喫輪飯
棱	棱	lin2	3	量詞
稜	棱	lin2	3	量詞
嶺	岭	lin6	2	
領	领	lin6	1	
凜	凛	lin6	2	
凛	凛	lin6	2	
懍	懔	lin6	1	
懔	懔	lin6	1	
令	令	lin6	1	
另	另	lin6	2	
拎	拎	lhin1	1	
針	针	cin1	1	
鍼	针	cin1	1	
抌	抌	cin1	1	將小木片敲入卯榫縫隙，使鬆動的器物牢固，或用小木塊等堵塞小洞孔
貞	贞	cin1	2	
蒸	蒸	cin1	1	
斟	斟	cin1	2	
正	正	cin1	1	正月
珍	珍	cin1	2	
珎	珍	cin1	2	
診	诊	cin1	2	
真	真	cin1	1	
眞	真	cin1	1	
精	精	cin1	1	
睛	睛	cin1	1	
腈	腈	cin1	1	
㲀	㲀	cin1	3	將小木片敲入卯榫縫隙，使鬆動的器物牢固，或用小木塊等堵塞小洞孔
津	津	cin1	2	
晶	晶	cin1	2	
金	金	cin1	1	
今	今	cin1	1	
經	经	cin1	1	
経	经	cin1	1	
莖	茎	cin1	2	
荊	荆	cin1	2	
荆	荆	cin1	2	
京	京	cin1	2	
驚	惊	cin1	1	
筋	筋	cin1	1	
巾	巾	cin1	1	
禁	禁	cin1	2	
襟	襟	cin1	1	
兢	兢	cin1	2	
謹	谨	cin1	2	
鯽	鲫	cin1	3	又音 河鯽魚
枕	枕	cin3	1	
整	整	cin3	1	
疹	疹	cin3	1	
井	井	cin3	1	
盡	尽	cin3	3	僅限於「儘夠」
儘	尽	cin3	3	僅限於「儘夠」
警	警	cin3	1	
緊	紧	cin3	1	
景	景	cin3	1	
錦	锦	cin3	2	
頸	颈	cin3	1	
正	正	cin5	1	
政	政	cin5	2	
症	症	cin5	2	
癥	症	cin5	2	
征	征	cin5	2	
徵	征	cin5	2	
徴	征	cin5	2	
証	证	cin5	1	
證	证	cin5	1	
震	震	cin5	1	
進	进	cin5	1	
浸	浸	cin5	1	
晋	晋	cin5	2	
晉	晋	cin5	2	
敬	敬	cin5	1	
徑	径	cin5	1	
逕	径	cin5	1	
剄	刭	cin5	2	
勁	劲	cin5	2	文读
竟	竟	cin5	1	
鏡	镜	cin5	1	
境	境	cin5	2	
蟶	蛏	chin1	1	
稱	称	chin1	1	
親	亲	chin1	1	
青	青	chin1	1	
靑	青	chin1	1	
蜻	蜻	chin1	1	
清	清	chin1	1	
淸	清	chin1	1	
欽	钦	chin1	2	
輕	轻	chin1	1	
軽	轻	chin1	1	
衾	衾	chin1	1	
請	请	chin3	1	
乘	乘	chin3	2	僅限於「乘車」
頃	顷	chin3	1	
凊	凊	chin5	1	冷凊凊
趁	趁	chin5	1	
趂	趁	chin5	1	
侵	侵	chin5	2	
寢	寝	chin5	2	
秤	秤	chin5	1	
沁	沁	chin5	3	
慶	庆	chin5	1	
撳	揿	chin5	1	
搇	揿	chin5	1	
傾	倾	chin5	2	
卿	卿	chin5	2	
岑	岑	jin2	2	
沈	沉	jin2	1	
沉	沉	jin2	1	
澄	澄	jin2	1	
澂	澄	jin2	1	
陳	陈	jin2	1	
呈	呈	jin2	2	
程	程	jin2	1	
埕	埕	jin2	1	
成	成	jin2	1	
城	城	jin2	1	
誠	诚	jin2	2	
橙	橙	jin2	2	
丞	丞	jin2	2	
承	承	jin2	2	
乘	乘	jin2	2	加減乘除
乗	乘	jin2	2	加減乘除
椉	乘	jin2	2	加減乘除
臣	臣	jin2	2	
塵	尘	jin2	1	
盛	盛	jin2	2	盛飯
仍	仍	jin2	1	
扔	扔	jin2	2	
懲	惩	jin2	2	
情	情	jin2	1	
秦	秦	jin2	2	
辰	辰	jin2	3	又音 僅限於「辰光」
敐	敐	jin2	4	敲擊聲。《廣韻》植鄰切，擊聲
琴	琴	jin2	1	
琹	琴	jin2	1	
禽	禽	jin2	2	
擒	擒	jin2	2	
擎	擎	jin2	1	
鯨	鲸	jin2	2	
謹	谨	jin2	2	又音
僅	仅	jin2	2	
勤	勤	jin2	1	
懃	勤	jin2	1	
芹	芹	jin2	1	
兢	兢	jin2	2	白讀
循	循	jin2	3	又音
盡	尽	jin6	1	
儘	尽	jin6	2	
蕈	蕈	jin6	1	香蕈
近	近	jin6	2	
凚	凚	jin6	1	因受寒或受驚嚇而發抖
噤	噤	jin6	3	
傾	倾	jin6	3	僅限於「傾轉」
陣	阵	jin6	1	
鄭	郑	jin6	1	
剩	剩	jin6	1	
賸	剩	jin6	1	
剰	剩	jin6	1	
鈐	钤	jin6	1	門鈐
勁	劲	jin6	1	白讀
您	您	gnin2	2	
任	任	gnin2	1	白讀
銀	银	gnin2	1	
凝	凝	gnin2	1	
迎	迎	gnin2	2	
寧	宁	gnin2	1	
寍	宁	gnin2	1	
甯	宁	gnin2	1	
寗	宁	gnin2	1	
寜	宁	gnin2	1	
寕	宁	gnin2	1	
吟	吟	gnin2	2	
唫	吟	gnin2	2	
人	人	gnin2	1	白讀
仁	仁	gnin2	1	
鄞	鄞	gnin2	2	
檸	柠	gnin2	2	
嚀	咛	gnin2	2	
妊	妊	gnin2	2	
姙	妊	gnin2	2	
賃	赁	gnin2	2	
佞	佞	gnin2	2	
認	认	gnin6	1	白讀
壬	壬	gnin6	1	
垽	垽	gnin6	1	積垢
韌	韧	gnin6	1	白讀
靭	韧	gnin6	1	白讀
靱	韧	gnin6	1	白讀
深	深	shin1	1	
聲	声	shin1	1	
娠	娠	shin1	2	
升	升	shin1	1	
昇	升	shin1	1	
陞	升	shin1	1	
身	身	shin1	1	
申	申	shin1	1	
伸	伸	shin1	2	
眚	眚	shin1	1	一種眼病，眼內生點
星	星	shin1	1	
腥	腥	shin1	1	
鮏	𱇡	shin1	1	魚鮏
心	心	shin1	1	
忄	心	shin1	1	
辛	辛	shin1	1	
新	新	shin1	1	
薪	薪	shin1	2	
馨	馨	shin1	2	
釁	衅	shin1	2	
衅	衅	shin1	2	
審	审	shin3	2	
嬸	婶	shin3	1	
瀋	沈	shin3	2	
沈	沈	shin3	2	
省	省	shin3	2	反省
醒	醒	shin3	2	
擤	擤	shin3	1	
聖	圣	shin5	1	
勝	胜	shin5	2	
賸	胜	shin5	2	
訊	讯	shin5	2	
汛	汛	shin5	1	
迅	迅	shin5	2	
性	性	shin5	1	
姓	姓	shin5	1	
信	信	shin5	1	
興	兴	shin5	1	
盛	盛	zhin2	2	旺盛
繩	绳	zhin2	1	
縄	绳	zhin2	1	
乘	乘	zhin2	2	乘涼
晴	晴	zhin2	1	
尋	寻	zhin2	1	
堘	塍	zhin2	3	
塍	塍	zhin2	3	
葚	葚	zhin2	2	
甚	甚	zhin6	1	
淨	净	zhin6	1	
凈	净	zhin6	1	
浄	净	zhin6	1	
靜	静	zhin6	2	
循	循	zhin6	1	又音
贏	赢	yin2	1	
嬴	嬴	yin2	2	
行	行	yin2	1	
形	形	yin2	1	
刑	刑	yin2	1	
型	型	yin2	1	
淫	淫	yin2	2	
滛	淫	yin2	2	
婬	淫	yin2	2	
營	营	yin2	2	
営	营	yin2	2	
邢	邢	yin2	2	
盈	盈	yin2	2	
螢	萤	yin2	1	
蛍	萤	yin2	1	
塋	茔	yin2	2	
堘	塍	yin2	2	
塍	塍	yin2	2	
辰	辰	yin2	1	僅限於「時辰」一詞
應	应	yin2	3	僅限於「該應」
応	应	yin2	3	僅限於「該應」
成	成	yin2	3	又音 僅限於「現成人」
穎	颖	yin2	2	
頴	颖	yin2	2	
潁	颍	yin2	2	
幸	幸	yin6	2	
倖	幸	yin6	2	
引	引	yin6	1	
寅	寅	yin6	1	
鷹	鹰	in1	1	
陰	阴	in1	1	
隂	阴	in1	1	
蔭	荫	in1	1	
廕	荫	in1	1	
音	音	in1	1	
膺	膺	in1	1	
應	应	in1	1	
応	应	in1	1	
嬰	婴	in1	2	
纓	缨	in1	2	
鸚	鹦	in1	2	
櫻	樱	in1	2	文讀
桜	樱	in1	2	文讀
鶯	莺	in1	2	
鷪	莺	in1	2	
英	英	in1	2	
殷	殷	in1	2	
慇	殷	in1	2	
因	因	in1	1	
囙	因	in1	1	
姻	姻	in1	2	
婣	姻	in1	2	
洇	洇	in1	1	
茵	茵	in1	2	
蠅	蝇	in1	1	
形	形	in1	3	又音 僅限於「八分形過」
飲	饮	in3	1	
飮	饮	in3	1	
影	影	in3	2	
縈	萦	in3	1	
隱	隐	in3	1	
隠	隐	in3	1	
䌥	𦈠	in3	1	縫（被子）
𢷍	𢷍	in5	1	比測容器大小，或以容器估量物之多少
應	应	in5	1	
印	印	in5	1	
熨	熨	in5	1	
映	映	in5	1	
瀴	瀴	in5	1	把瓜果、食品等放在冷水中使涼
引	引	in5	3	僅限於「地腳引」
滾	滚	kuen3	1	
滚	滚	kuen3	1	
棍	棍	kuen5	1	
昆	昆	khuen1	2	
崑	昆	khuen1	2	
崐	昆	khuen1	2	
坤	坤	khuen1	2	
堃	坤	khuen1	2	
困	困	khuen1	2	
捆	捆	khuen3	2	
綑	捆	khuen3	2	
睏	困	khuen5	1	
滾	滚	guen6	3	僅限於「滾記滾記」
滚	滚	guen6	3	僅限於「滾記滾記」
昏	昏	huen1	1	
昬	昏	huen1	1	
婚	婚	huen1	1	
葷	荤	huen1	1	
魂	魂	wen2	1	
餛	馄	wen2	1	
渾	浑	wen2	1	
混	混	wen6	1	
溫	温	uen1	1	
温	温	uen1	1	
瘟	瘟	uen1	1	
薀	蕰	uen1	1	
穩	稳	uen3	1	
穏	稳	uen3	1	
渾	浑	uen3	3	僅限於「打渾」
搵	揾	uen5	1	在液體、粉末或糊狀的東西裏沾一下就拿出來
揾	揾	uen5	1	在液體、粉末或糊狀的東西裏沾一下就拿出來
君	君	ciun1	2	
莙	莙	ciun1	1	
軍	军	ciun1	1	
均	均	ciun1	2	
鈞	钧	ciun1	2	
皸	皲	ciun1	1	皮膚因受凍而燥裂
桊	桊	ciun5	1	牛鼻桊
棬	桊	ciun5	2	牛鼻棬
菌	菌	chiun5	2	
𧱝	𧱝	chiun5	1	豬用嘴鼻拱
䠻	䠻	chiun5	4	低頭
裙	裙	jiun2	1	
羣	群	jiun2	2	
群	群	jiun2	2	
窘	窘	jiun2	2	
郡	郡	jiun2	2	
熏	熏	shiun1	1	
薰	熏	shiun1	1	
燻	熏	shiun1	1	
焄	焄	shiun1	1	
勛	勋	shiun1	2	
勳	勋	shiun1	2	
勲	勋	shiun1	2	
訓	训	shiun5	2	
勻	匀	yun2	1	
匀	匀	yun2	1	
允	允	yun2	2	
尹	尹	yun2	2	姓
云	云	yun2	2	
雲	云	yun2	1	
隕	陨	yun6	2	
殞	殒	yun6	2	
耘	耘	yun6	1	
閏	闰	yun6	1	
韻	韵	yun6	2	
韵	韵	yun6	2	
運	运	yun6	1	
暈	晕	yun6	1	
孕	孕	yun6	2	
蘊	蕴	iun1	2	
藴	蕴	iun1	2	
肫	肫	tsyun1	1	鳥類及家禽的胃
峻	峻	tsyun1	2	
竣	竣	tsyun1	2	
駿	骏	tsyun1	2	
俊	俊	tsyun1	2	
儁	俊	tsyun1	2	
真	真	tsyun1	1	僅限於「頂真」
眞	真	tsyun1	1	僅限於「頂真」
准	准	tsyun3	2	
準	准	tsyun3	1	
皴	皴	tsyun5	1	皺鼻；皺眉
振	振	tsyun5	1	
䟴	䟴	tsyun5	4	下蹲屈身縱跳
鎮	镇	tsyun5	1	
鎭	镇	tsyun5	1	
震	震	tsyun5	2	
春	春	tshyun1	1	
旾	春	tshyun1	1	
椿	椿	tshyun1	1	
皴	皴	tshyun1	1	
蠢	蠢	tshyun3	1	
惷	蠢	tshyun3	1	
洵	洵	syun1	2	
申	申	syun1	2	
伸	伸	syun1	2	
娠	娠	syun1	2	
榫	榫	syun3	1	榫頭
旬	旬	syun3	1	
筍	笋	syun3	1	
笋	笋	syun3	1	
瞬	瞬	syun5	2	
舜	舜	syun5	2	
殉	殉	syun5	2	
審	审	syun5	2	
仁	仁	zyun2	2	
人	人	zyun2	1	文讀
醇	醇	zyun2	2	
醕	醇	zyun2	2	
循	循	zyun2	1	
楯	楯	zyun2	1	檐楯
純	纯	zyun2	1	
蒓	莼	zyun2	2	
蓴	莼	zyun2	2	
脣	唇	zyun2	2	
唇	唇	zyun2	2	
神	神	zyun2	1	
辰	辰	zyun2	1	
晨	晨	zyun2	2	
宸	宸	zyun2	2	
娠	娠	zyun2	2	又音
巡	巡	zyun2	2	
廵	巡	zyun2	2	
忍	忍	zyun6	2	
蕈	蕈	zyun6	3	
任	任	zyun6	1	
腎	肾	zyun6	1	
順	顺	zyun6	1	
刃	刃	zyun6	2	
仞	仞	zyun6	1	
認	认	zyun6	2	文讀
潤	润	zyun6	2	
慎	慎	zyun6	2	
愼	慎	zyun6	2	
昚	慎	zyun6	2	
軔	轫	zyun6	2	
㞞	𪨊	zyun6	2	精液
蜃	蜃	zyun6	2	出蜃
崩	崩	pon1	1	
捧	捧	phon3	1	
㠮	㠮	phon3	3	胓㠮
碰	碰	phon5	1	碰着
踫	碰	phon5	1	碰着
掽	碰	phon5	1	碰着
蓬	蓬	bon2	1	
篷	篷	bon2	1	
塳	塳	bon2	1	塳塵
蒙	蒙	mon2	1	
懞	蒙	mon2	1	
懵	懵	mon2	1	
風	风	fon1	1	
楓	枫	fon1	1	
瘋	疯	fon1	1	
丰	丰	fon1	2	
豐	丰	fon1	2	
封	封	fon1	1	
峯	峰	fon1	2	
峰	峰	fon1	2	
烽	烽	fon1	2	
蜂	蜂	fon1	1	
鋒	锋	fon1	1	
紛	纷	fon1	3	僅限於「拖紛」
諷	讽	fon1	2	
畚	畚	fon1	1	拖畚
風	风	fon5	1	形容詞，縱情嬉鬧、玩耍
馮	冯	von2	2	
逢	逢	von2	2	
縫	缝	von2	1	裁縫
奉	奉	von6	2	
鳳	凤	von6	1	
縫	缝	von6	1	縫蕩
俸	俸	von6	2	又音
冬	冬	ton1	1	
東	东	ton1	1	
倲	㑈	ton1	3	㽺倲倲
端	端	ton1	1	限於「端午」
懂	懂	ton3	1	
董	董	ton3	2	
㖦	𰇎	ton3	3	
凍	冻	ton5	1	
棟	栋	ton5	1	
通	通	thon1	1	
捅	捅	thon3	2	
統	统	thon3	1	
痛	痛	thon5	1	
同	同	don2	1	
仝	同	don2	1	
衕	同	don2	1	
銅	铜	don2	1	
桐	桐	don2	1	
烔	烔	don2	3	熱烔烔
童	童	don2	1	
瞳	瞳	don2	1	
潼	潼	don2	2	
僮	僮	don2	2	
動	动	don6	1	
桶	桶	don6	1	
筒	筒	don6	1	
筩	筒	don6	1	
䞒	䞒	don6	3	䞒紅
洞	洞	don6	1	
胴	胴	don6	1	胴肛
農	农	non2	1	
辳	农	non2	1	
膿	脓	non2	1	
儂	侬	non6	2	又音
襛	襛	nhon1	1	穿得過多
齈	齈	nhon5	1	黃齈鼻頭
齆	齆	nhon5	1	
