繁體	简体	吳拼	備注
搽	搽	dza2	文
查	查	dza2	文
寨	寨	dza6	
咋	咋	dza6	
⿸尸⿱沓小	⿸尸⿱沓小	dza6	〜尿
茄	茄	ga2	番〜
鋸	锯	ga6	〜木头
外	外	nga6	
雁	雁	nga6	〜鹅
鞋	鞋	gha2	
包	包	pau1	
胞	胞	pau1	
保	保	pau3	
堡	堡	pau3	
寶	宝	pau3	
飽	饱	pau3	
報	报	pau5	
暴	暴	pau5	打〜
豹	豹	pau5	
泡	泡	phau1	
拋	抛	phau1	
炮	炮	phau5	
泡	泡	phau5	〜在水里
刀	刀	tau1	
島	岛	tau1	
禱	祷	tau3	
倒	倒	tau3	打〜
搗	捣	tau3	
到	到	tau5	
倒	倒	tau5	〜水
叨	叨	thau1	
滔	滔	thau1	
討	讨	thau3	
套	套	thau5	
撈	捞	lhau1	
遭	遭	tsau1	
糟	糟	tsau1	
抓	抓	tsau1	
早	早	tsau3	
棗	枣	tsau3	
聖	圣	tsau3	
澡	澡	tsau3	
爪	爪	tsau3	
找	找	tsau3	
躁	躁	tsau5	
竈	灶	tsau5	
笊	笊	tsau5	
罩	罩	tsau5	
操	操	tshau1	
鈔	钞	tshau1	
草	草	tshau3	
騲	騲	tshau3	
炒	炒	tshau3	
吵	吵	tshau3	
剿	剿	tshau3	又
糙	糙	tshau5	
耖	耖	tshau5	
騷	骚	sau1	
臊	臊	sau1	〜气
梢	梢	sau1	
捎	捎	sau1	
掃	扫	sau3	〜地
嫂	嫂	sau3	
掃	扫	sau5	〜帚
稍	稍	sau5	
高	高	kau1	
膏	膏	kau1	
篙	篙	kau1	
羔	羔	kau1	
糕	糕	kau1	
交	交	kau1	〜代
膠	胶	kau1	
教	教	kau1	
稿	稿	kau3	
絞	绞	kau3	
鉸	铰	kau3	
攪	搅	kau3	
搞	搞	kau3	
告	告	kau5	
酵	酵	kau5	
覺	觉	kau5	睏〜
犒	犒	khau1	
敲	敲	khau1	
考	考	khau3	
靠	靠	khau5	
烤	烤	khau5	
蒿	蒿	hau1	
好	好	hau3	〜坏
好	好	hau5	爱〜
