繁體	简体	吳拼	備註
眷	眷	ciu5	
縳	䌸	ciu5	
懁	懁	ciu5	
瓹	瓹	ciu5	
卛	卛	ciu5	
帣	帣	ciu5	
讂	讂	ciu5	
絭	絭	ciu5	
勬	勬	ciu5	
犈	犈	ciu5	
觠	觠	ciu5	
飬	飬	ciu5	
區	区	chiu1	
嶇	岖	chiu1	
驅	驱	chiu1	
駆	驱	chiu1	
駈	驱	chiu1	
軀	躯	chiu1	
鰸	鰸	chiu1	
虧	亏	chiu1	
袪	袪	chiu1	
祛	祛	chiu1	
胠	胠	chiu1	
阹	阹	chiu1	
姝	姝	chiu1	
魼	魼	chiu1	
敺	敺	chiu1	
圈	圈	chiu1	
圏	圈	chiu1	
券	券	chiu1	
劵	券	chiu1	
勸	劝	chiu1	
勧	劝	chiu1	
弮	弮	chiu1	
弆	弆	chiu3	
麮	麮	chiu3	
竘	竘	chiu3	
綣	绻	chiu3	
犬	犬	chiu3	
畎	畎	chiu3	
埍	埍	chiu3	
圈	圈	chiu3	
圏	圈	chiu3	
虇	虇	chiu3	
裷	裷	chiu3	
去	去	chiu5	文讀
鼁	鼁	chiu5	
麮	麮	chiu5	
絭	絭	chiu5	
虇	虇	chiu5	
韏	韏	chiu5	
飬	飬	chiu5	
蕖	蕖	jiu2	
磲	磲	jiu2	
巨	巨	jiu2	
鉅	巨	jiu2	
拒	拒	jiu2	
距	距	jiu2	
炬	炬	jiu2	
柜	柜	jiu2	白讀
渠	渠	jiu2	水渠
佢	佢	jiu2	
懼	惧	jiu2	
具	具	jiu2	
俱	俱	jiu2	
颶	飓	jiu2	
瞿	瞿	jiu2	
衢	衢	jiu2	
癯	癯	jiu2	
翵	翵	jiu2	
氍	氍	jiu2	
灈	灈	jiu2	
臞	臞	jiu2	
鸜	鸲	jiu2	
鴝	鸲	jiu2	
劬	劬	jiu2	
朐	朐	jiu2	
鼩	鼩	jiu2	
璩	璩	jiu2	
蘧	蘧	jiu2	
籧	籧	jiu2	
懅	懅	jiu2	
淭	淭	jiu2	
璖	璖	jiu2	
螶	螶	jiu2	
蟝	蟝	jiu2	
忂	忂	jiu2	
戵	戵	jiu2	
斪	斪	jiu2	
欋	欋	jiu2	
翑	翑	jiu2	
葋	葋	jiu2	
蠷	蠷	jiu2	
躣	躣	jiu2	
鑺	鑺	jiu2	
蜷	蜷	jiu2	
瘸	瘸	jiu2	
腒	腒	jiu2	
豦	豦	jiu2	
鐻	鐻	jiu2	
眗	眗	jiu2	
絇	絇	jiu2	
蚼	蚼	jiu2	
軥	軥	jiu2	
鬈	鬈	jiu2	
惓	惓	jiu2	
踡	踡	jiu2	
𨃪	𨃪	jiu2	
權	权	jiu2	
権	权	jiu2	
顴	颧	jiu2	
拳	拳	jiu2	
孉	孉	jiu2	
蠸	蠸	jiu2	
齤	齤	jiu2	
犈	犈	jiu2	
狋	狋	jiu2	
觠	觠	jiu2	
跪	跪	jiu6	白讀
窶	窭	jiu6	
苣	苣	jiu6	
怇	怇	jiu6	
詎	讵	jiu6	
秬	秬	jiu6	
蚷	蚷	jiu6	
岠	岠	jiu6	
歫	歫	jiu6	
粔	粔	jiu6	
虡	虡	jiu6	
駏	駏	jiu6	
貗	𫎌	jiu6	
鐻	鐻	jiu6	
裙	裙	jiu6	僅限於「褓裙」
蜎	蜎	jiu6	
萒	萒	jiu6	
蔨	蔨	jiu6	
櫃	柜	jiu6	白讀
犋	犋	jiu6	
遽	遽	jiu6	
勮	勮	jiu6	
埧	埧	jiu6	
倦	倦	jiu6	
勌	倦	jiu6	
淃	淃	jiu6	
韏	韏	jiu6	
虞	虞	gniu2	
娛	娱	gniu2	
娯	娱	gniu2	
鋙	铻	gniu2	
禺	禺	gniu2	
隅	隅	gniu2	
嵎	嵎	gniu2	
愚	愚	gniu2	
喁	喁	gniu2	
遇	遇	gniu2	
寓	寓	gniu2	
麌	麌	gniu2	
齵	齵	gniu2	
御	御	gniu2	
禦	御	gniu2	
堣	堣	gniu2	
湡	湡	gniu2	
澞	澞	gniu2	
鍝	鍝	gniu2	
鸆	鸆	gniu2	
䱷	䲣	gniu2	
髃	髃	gniu2	
鰅	鰅	gniu2	
原	原	gniu2	
源	源	gniu2	
願	愿	gniu2	
愿	愿	gniu2	
騵	𫘪	gniu2	
嫄	嫄	gniu2	
塬	塬	gniu2	
螈	螈	gniu2	
羱	羱	gniu2	
元	元	gniu2	
芫	芫	gniu2	
阮	阮	gniu2	
朊	朊	gniu2	
沅	沅	gniu2	
刓	刓	gniu2	
岏	岏	gniu2	
黿	鼋	gniu2	
邧	邧	gniu2	
蚖	蚖	gniu2	
杬	杬	gniu2	
榞	榞	gniu2	
獂	獂	gniu2	
蒝	蒝	gniu2	
邍	邍	gniu2	
撋	撋	gniu2	
扭	扭	gniu2	僅限於头或身体转动一義
厵	厵	gniu2	
謜	謜	gniu2	
堧	堧	gniu2	
瑌	瑌	gniu2	
繎	繎	gniu2	
女	女	gniu6	
釹	钕	gniu6	化學元素
蕊	蕊	gniu6	蕊頭
蕋	蕊	gniu6	蕊頭
橤	蕊	gniu6	蕊頭
蘂	蕊	gniu6	蕊頭
禹	禹	gniu6	白讀
圄	圄	gniu6	
敔	敔	gniu6	
俁	俣	gniu6	
圉	圉	gniu6	
麌	麌	gniu6	
篽	篽	gniu6	
籞	籞	gniu6	
蘌	蘌	gniu6	
噳	噳	gniu6	
軟	软	gniu6	
輭	软	gniu6	
碝	碝	gniu6	
緛	緛	gniu6	
耎	耎	gniu6	
偄	偄	gniu6	
愞	愞	gniu6	
瑌	瑌	gniu6	
腝	腝	gniu6	
語	语	gniu6	
馭	驭	gniu6	
傆	傆	gniu6	
媀	媀	gniu6	
庽	庽	gniu6	
芋	芋	gniu6	「芋」處在詞的末尾讀[ȵy˨˩˧]
豙	豙	gniu6	
顡	顡	gniu6	
原	原	kniu1	僅限於「原方」
靴	靴	shiu1	
鞾	靴	shiu1	
虛	虚	shiu1	
虚	虚	shiu1	
噓	嘘	shiu1	
嘘	嘘	shiu1	
墟	墟	shiu1	
圩	圩	shiu1	地名用字，同「墟」，不見於寧波
譃	譃	shiu1	
歔	歔	shiu1	
魖	魖	shiu1	
驉	驉	shiu1	
吁	吁	shiu1	
訏	吁	shiu1	
盱	盱	shiu1	
旴	旴	shiu1	
姁	姁	shiu1	
𦰰	𦰰	shiu1	
扜	扜	shiu1	
欨	欨	shiu1	
荂	荂	shiu1	
楦	楦	shiu1	
楥	楦	shiu1	
萱	萱	shiu1	
萲	萱	shiu1	
蕿	萱	shiu1	
藼	萱	shiu1	
蘐	萱	shiu1	
箮	箮	shiu1	
煊	煊	shiu1	
瑄	瑄	shiu1	
諼	谖	shiu1	
晅	晅	shiu1	
咺	咺	shiu1	
暄	暄	shiu1	
塤	埙	shiu1	
壎	埙	shiu1	
翾	翾	shiu1	
譞	𫍽	shiu1	
梋	梋	shiu1	
鋗	𫓶	shiu1	
愋	愋	shiu1	
翧	翧	shiu1	
蝖	蝖	shiu1	
弲	弲	shiu1	
禤	禤	shiu1	
蠉	蠉	shiu1	
頨	頨	shiu1	
矎	矎	shiu1	
駽	駽	shiu1	
吅	吅	shiu1	
喛	喛	shiu1	
貆	貆	shiu1	
許	许	shiu3	
栩	栩	shiu3	
詡	诩	shiu3	
鄦	鄦	shiu3	
冔	冔	shiu3	
喣	喣	shiu3	
珝	珝	shiu3	
欨	欨	shiu3	
祤	祤	shiu3	
烜	烜	shiu3	
𣈶	暅	shiu3	
暅	暅	shiu3	
蠉	蠉	shiu3	
愃	愃	shiu3	
毀	毁	shiu5	舊時指小孩換乳齒
毁	毁	shiu5	舊時指小孩換乳齒
㧦	㧦	shiu5	
昫	昫	shiu5	
煦	煦	shiu5	紅煦煦
酗	酗	shiu5	
絢	绚	shiu5	
𩋢	𩋢	shiu5	
夐	夐	shiu5	
眴	眴	shiu5	
讂	讂	shiu5	
駽	駽	shiu5	
韗	韗	shiu5	
漁	渔	yu2	
魚	鱼	yu2	文讀
余	余	yu2	
餘	余	yu2	
餘	馀	yu2	
狳	狳	yu2	
艅	艅	yu2	
畬	畬	yu2	
舁	舁	yu2	
臾	臾	yu2	
萸	萸	yu2	
腴	腴	yu2	
諛	谀	yu2	
瘐	瘐	yu2	
俞	俞	yu2	
愉	愉	yu2	
榆	榆	yu2	
楡	榆	yu2	
逾	逾	yu2	
踰	逾	yu2	
揄	揄	yu2	
渝	渝	yu2	
瑜	瑜	yu2	
窬	窬	yu2	
蝓	蝓	yu2	
覦	觎	yu2	
毹	毹	yu2	
腧	腧	yu2	
圍	围	yu2	白讀 圍巾
圩	圩	yu2	地名用字，同「圍」，音「圍」白讀，多見於太湖平原，不見於寧波
盂	盂	yu2	
于	于	yu2	
於	于	yu2	
扵	于	yu2	
予	予	yu2	
妤	妤	yu2	
雩	雩	yu2	
馭	驭	yu2	文讀 駕馭
譽	誉	yu2	
籲	吁	yu2	
喻	喻	yu2	
喩	喻	yu2	
愈	愈	yu2	
癒	愈	yu2	
瘉	愈	yu2	
嵛	嵛	yu2	
崳	崳	yu2	
裕	裕	yu2	
輿	舆	yu2	
歟	欤	yu2	
藇	藇	yu2	
鱮	𫚈	yu2	
伃	伃	yu2	
嬩	嬩	yu2	
旟	旟	yu2	
璵	玙	yu2	
雓	雓	yu2	
堬	堬	yu2	
羭	羭	yu2	
茰	茰	yu2	
萮	萮	yu2	
蕍	蕍	yu2	
螸	螸	yu2	
騟	𩨈	yu2	
杅	杅	yu2	
謣	謣	yu2	
鵌	鵌	yu2	
鸒	鸒	yu2	
楰	楰	yu2	
歈	歈	yu2	
褕	褕	yu2	
鄃	鄃	yu2	
隃	隃	yu2	
緣	缘	yu2	
縁	縁	yu2	同「緣」
圓	圆	yu2	
円	圆	yu2	
圎	圆	yu2	
員	员	yu2	
貟	贠	yu2	古同「員」
玄	玄	yu2	
舷	舷	yu2	
懸	悬	yu2	
袁	袁	yu2	
轅	辕	yu2	
園	园	yu2	
猿	猿	yu2	
猨	猿	yu2	
蝯	猿	yu2	
垣	垣	yu2	
爰	爰	yu2	
湲	湲	yu2	
媛	媛	yu2	
鍰	锾	yu2	
鶢	鶢	yu2	
櫞	橼	yu2	
玆	玆	yu2	
盷	盷	yu2	
榬	榬	yu2	
溒	溒	yu2	
妶	妶	yu2	
玹	玹	yu2	
胘	胘	yu2	
宇	宇	yu6	
雨	雨	yu6	
禹	禹	yu6	文讀
羽	羽	yu6	
庾	庾	yu6	
與	与	yu6	
与	与	yu6	
嶼	屿	yu6	
窳	窳	yu6	
斞	斞	yu6	
貐	貐	yu6	
瑀	瑀	yu6	
鄅	鄅	yu6	
楰	楰	yu6	
楀	楀	yu6	
祤	祤	yu6	
聥	聥	yu6	
萭	萭	yu6	
頨	頨	yu6	
遠	远	yu6	
逺	远	yu6	
薳	䓕	yu6	
鉉	铉	yu6	
琄	琄	yu6	
妶	妶	yu6	
贙	贙	yu6	
鞙	鞙	yu6	
萒	萒	yu6	
預	预	yu6	
豫	豫	yu6	
蕷	蓣	yu6	
瑗	瑗	yu6	
芋	芋	yu6	文讀
諭	谕	yu6	
礜	礜	yu6	
忬	忬	yu6	
悆	悆	yu6	
澦	滪	yu6	
穥	穥	yu6	
悇	悇	yu6	
鸒	鸒	yu6	
院	院	yu6	
眩	眩	yu6	
昡	昡	yu6	
衒	衒	yu6	
袨	袨	yu6	
縣	县	yu6	
県	县	yu6	
援	援	yu6	文讀
褑	褑	yu6	
掾	掾	yu6	
姰	姰	yu6	
玹	玹	yu6	
眴	眴	yu6	
迿	迿	yu6	
淤	淤	iu1	
于	于	iu1	姓
迂	迂	iu1	
竽	竽	iu1	
紆	纡	iu1	
釪	釪	iu1	
玗	玗	iu1	
邘	邘	iu1	
骬	骬	iu1	
衧	衧	iu1	
䩒	䩒	iu1	
唹	唹	iu1	
箊	箊	iu1	
虶	虶	iu1	
陓	陓	iu1	
衣	衣	iu1	僅限於「衣櫥」一詞
益	益	iu1	又音 僅限於「益加」
扜	扜	iu1	
蓲	蓲	iu1	
鴛	鸳	iu1	
鵷	鹓	iu1	
冤	冤	iu1	
寃	冤	iu1	
眢	眢	iu1	
葾	葾	iu1	
㠾	㠾	iu1	
淵	渊	iu1	
渕	渊	iu1	
姢	姢	iu1	
悁	悁	iu1	
剈	剈	iu1	
囦	囦	iu1	
蒬	蒬	iu1	
潫	潫	iu1	
蜎	蜎	iu1	
弲	弲	iu1	
鼘	鼘	iu1	
惌	惌	iu1	
裷	裷	iu1	
嬽	嬽	iu1	
椅	椅	iu3	
𩌑	𩌑	iu3	稱東西時容器的重量
䩩	䩩	iu3	稱東西時容器的重量
畹	畹	iu3	
苑	苑	iu3	
倇	倇	iu3	
夗	夗	iu3	
晼	晼	iu3	
箢	箢	iu3	
惌	惌	iu3	
睕	睕	iu3	
餵	喂	iu5	
喂	喂	iu5	
餧	喂	iu5	
瘀	瘀	iu5	
飫	饫	iu5	
嫗	妪	iu5	
棜	棜	iu5	
醧	醧	iu5	
蓲	蓲	iu5	
怨	怨	iu5	
噮	噮	iu5	
肙	肙	iu5	
裫	裫	iu5	
八	八	pa1	僅限於「王八」一詞
叭	叭	pa1	
巴	巴	pa1	大巴車？
芭	芭	pa1	
吧	吧	pa1	
擺	摆	pa3	
襬	摆	pa3	
把	把	pa3	文讀
拜	拜	pa5	
拝	拜	pa5	
垻	坝	pa5	
爸	爸	pa5	
伯	伯	pa5	又音 僅限於「叔伯姆」
庍	庍	pa5	
派	派	pha5	
哌	哌	pha5	化學用字
蒎	蒎	pha5	
浿	浿	pha5	
湃	湃	pha5	
潑	泼	pha5	做事粗線條，不精細
排	排	ba2	
俳	俳	ba2	
徘	徘	ba2	
牌	牌	ba2	
𥱼	𥱼	ba2	
罷	罢	ba2	文讀
猈	猈	ba2	
輫	輫	ba2	
棑	棑	ba2	
犤	犤	ba2	
蠯	蠯	ba2	
鮊	鲌	ba6	
䱝	䱝	ba6	
捭	捭	ba6	
䇑	䇑	ba6	
矲	矲	ba6	
猈	猈	ba6	
稗	稗	ba6	文讀
粺	稗	ba6	
敗	败	ba6	
贁	贁	ba6	
憊	惫	ba6	
唄	呗	ba6	
韝	鞲	ba6	
韛	𫖔	ba6	
棑	棑	ba6	
埋	埋	ma2	埋怨
嘛	嘛	ma2	
霾	霾	ma2	
薶	薶	ma2	
𧻲	𧻲	ma2	
邁	迈	ma2	又音
買	买	ma6	
馬	马	ma6	僅限於「馬馬虎虎」一詞
嗎	吗	ma6	化學用字
瑪	玛	ma6	
嘪	𪡃	ma6	
蕒	荬	ma6	
鷶	鷶	ma6	
賣	卖	ma6	
韎	韎	ma6	
𧻲	𧻲	mha1	
埋	埋	mha1	把盛有食物的器皿放入熱飯或熱灰中使熱
馬	马	mha1	僅限於「馬馬虎虎」一詞
媽	妈	mha5	
孟	孟	mha5	僅限於「長孟孟」
𠲎	𠲎	va2	「勿」「啦」合音
帶	带	ta5	
帯	带	ta5	
㯂	㯂	ta5	
艜	艜	ta5	
戴	戴	ta5	戴帽子
摕	摕	ta5	
跢	跢	ta5	
蹛	蹛	ta5	
痑	痑	ta5	
拖	拖	tha1	又音，貓拖老鼠
祂	它	tha1	
牠	它	tha1	
它	它	tha1	
鉈	铊	tha1	化學元素
舑	舑	tha1	舑舌頭
討	讨	tha3	僅限於「討饒」
太	太	tha5	
鈦	钛	tha5	化學元素
酞	酞	tha5	化學用字
肽	肽	tha5	化學用字
汰	汰	tha5	
𧉑	𧉑	tha5	
呔	呔	tha5	
泰	泰	tha5	
他	他	tha5	
她	她	tha5	
忕	忕	tha5	
埭	埭	da2	一埭路
𡉑	𡉑	da2	趟：走一𡉑，走一趟。也寫埭
忕	忕	da2	
軑	轪	da2	
釱	釱	da2	
大	大	da6	文讀
𢪂	𢪂	da6	𢪂癢
𠯈	𠯈	da6	
汏	汏	da6	
拿	拿	na2	拿手好戲
挐	拿	na2	拿手好戲
拏	拿	na2	拿手好戲
鎿	镎	na2	化學元素
艿	艿	na2	
誽	誽	na2	
南	南	na2	南無阿彌陀佛
倷	倷	na2	「倷阿姆」合音，多用於詈語
吶	呐	na2	
呐	呐	na2	
哪	哪	na2	
奶	奶	na6	
嬭	奶	na6	
疓	疓	na6	
爛	烂	na6	僅限於「爛泥」
嬲	嬲	na6	嬲和
娜	娜	na6	
哪	哪	nha1	
吶	呐	nha1	
呐	呐	nha1	
哪	哪	nha5	
那	那	nha5	
剌	剌	la2	
攋	𪮶	la6	
喇	喇	la6	
賴	赖	la6	
頼	赖	la6	
癩	癞	la6	
籟	籁	la6	
瀨	濑	la6	
瀬	濑	la6	
藾	藾	la6	
鵣	鵣	la6	
垃	垃	la6	
拉	拉	la6	粗拉柴
啦	啦	la6	
洡	洡	la6	
犡	犡	la6	
拉	拉	lha1	
啦	啦	lha1	
菈	菈	lha1	
齋	斋	tsa1	
斎	斋	tsa1	
亝	斋	tsa1	
𠷒	𠷒	tsa1	
抓	抓	tsa1	文讀
髽	髽	tsa1	
喳	喳	tsa1	
債	债	tsa5	
瘵	瘵	tsa5	
𨝋	𨝋	tsa5	
祭	祭	tsa5	姓
差	差	tsha1	出差
叉	叉	tsha1	僅限於「軋叉」
釵	钗	tsha1	文讀
扠	扠	tsha1	顺手拿走别人的东西
攃	攃	tsha1	攃眼
靫	靫	tsha1	
扯	扯	tsha3	僅限於「牽扯」等詞
撦	扯	tsha3	僅限於「牽扯」等詞
蔡	蔡	tsha5	
礤	礤	tsha5	
蠆	虿	tsha5	
傺	傺	tsha5	
慸	慸	tsha5	
揥	揥	tsha5	
跇	跇	tsha5	
咋	咋	dza6	
咱	咱	dza6	「咋挔」也作「咱伊」
撒	撒	dza6	「⿸尸咋」通作「撒」
射	射	dza6	
𠑞	𠑞	dza6	
⿱寨	⿱寨	dza6	用竹篾編成的器具，圓形平底疏孔，邊框很淺，用來曬物、篩物或養蠶等
耍	耍	sa1	
傻	傻	sa1	
籭	籭	sa1	
諰	𫍰	sa1	
灑	洒	sa3	
洒	洒	sa3	
𩎉	𩎉	sa3	
躧	躧	sa3	
曬	晒	sa5	
閷	閷	sa5	
柴	柴	za2	
㾹	㾹	za2	
祡	祡	za2	
豺	豺	za2	
麡	麡	za2	
寨	寨	za6	
砦	寨	za6	
⿱寨	⿱寨	za6	用竹篾編成的器具，圓形平底疏孔，邊框很淺，用來曬物、篩物或養蠶等
㩟	㩟	za6	
𡍥	𡍥	za6	
階	阶	ka1	
堦	阶	ka1	
街	街	ka1	
咖	咖	ka1	咖喱
鮫	鲛	ka1	又音「馬鮫魚」
解	解	ka3	
檞	檞	ka3	
廨	廨	ka3	
介	介	ka5	白讀
界	界	ka5	白讀
堺	堺	ka5	
芥	芥	ka5	白讀
疥	疥	ka5	疥櫥
尬	尬	ka5	
庎	庎	ka5	
楐	楐	ka5	
届	届	ka5	白讀
屆	届	ka5	白讀
戒	戒	ka5	白讀
隘	隘	ka5	地名
解	解	ka5	解鈔票
繲	繲	ka5	
砎	砎	ka5	
衸	衸	ka5	
揩	揩	kha1	
楷	楷	kha1	
咖	咖	kha1	咖啡
卡	卡	kha3	
鉲	鉲	kha3	化學元素，又稱「鐦」
咔	咔	kha3	化學用字
佧	佧	kha3	
峠	峠	kha3	日語漢字，音同「卡」
嘎	嘎	ga2	
嘠	嘎	ga2	
茄	茄	ga2	番茄
伽	伽	ga2	
懈	懈	ga6	懈門
解	解	ga6	解兩刀
𨮂	𨱕	ga6	
捱	捱	nga6	
外	外	nga6	白讀
𤘅	𤘅	nga6	孲𤘅
伢	伢	nga6	同「𤘅」
雁	雁	nga6	雁鵝
鴈	雁	nga6	雁鵝
𩂢	𩂢	nga6	汗𩂢𩂢響
𤘅	𤘅	nka5	孲𤘅
伢	伢	nka5	同「𤘅」
哈	哈	ha1	
蟹	蟹	ha3	
蠏	蟹	ha3	
澥	澥	ha3	
嶰	嶰	ha3	
獬	獬	ha3	
罅	罅	ha5	白讀 腳罅縫
譮	譮	ha5	
鞋	鞋	gha2	
合	合	gha2	「合扑」又音
鞵	鞋	gha2	
還	还	gha2	白讀 還有
啊	啊	gha6	表驚疑
也	也	gha6	
捱	挨	a1	
挨	挨	a1	
啊	啊	a1	又音
錒	锕	a1	化學元素
鴉	鸦	a1	僅限於「鴉片」
鵶	鸦	a1	僅限於「鴉片」
埃	埃	a1	
矮	矮	a3	
躷	躷	a3	古同「矮」
㢊	㢊	a3	
阿	阿	a5	阿姆
靉	叆	a5	
隘	隘	a5	
賹	賹	a5	
阸	阸	a5	
爹	爹	tia1	
嗲	嗲	tia3	
蒫	蒫	cia1	
袓	袓	cia1	
謯	𫍹	cia1	
家	家	cia1	文讀
傢	傢	cia1	文讀
稼	稼	cia1	文讀
鎵	镓	cia1	化學元素
加	加	cia1	文讀
袈	袈	cia1	文讀
嘉	嘉	cia1	文讀
迦	迦	cia1	文讀
珈	珈	cia1	文讀
痂	痂	cia1	文讀
耞	耞	cia1	文讀
跏	跏	cia1	文讀
葭	葭	cia1	文讀
麚	麚	cia1	文讀
瘕	瘕	cia1	文讀
豭	豭	cia1	文讀
犌	犌	cia1	
猳	猳	cia1	
貑	貑	cia1	
鴐	𫛤	cia1	
佳	佳	cia1	文讀
幏	幏	cia1	
蟼	蟼	cia1	
姐	姐	cia3	
飷	飷	cia3	
抯	抯	cia3	
解	解	cia3	文讀
薢	薢	cia3	
賈	贾	cia3	文讀
檟	檟	cia3	文讀
假	假	cia3	文讀 假如
叚	假	cia3	文讀 假如
婽	婽	cia3	
椵	椵	cia3	
榎	榎	cia3	
斝	斝	cia3	文讀
藉	借	cia5	
借	借	cia5	
䶓	䶓	cia5	䶓箜籃
縩	縩	cia5	縩孔籃
嫁	嫁	cia5	文讀
介	介	cia5	文讀
玠	玠	cia5	
吤	吤	cia5	
蚧	蚧	cia5	
魪	魪	cia5	
芥	芥	cia5	文讀
界	界	cia5	文讀
价	价	cia5	文讀
價	价	cia5	文讀
駕	驾	cia5	文讀
届	届	cia5	文讀
屆	届	cia5	文讀
架	架	cia5	文讀
㗎	㗎	cia5	文讀
幏	幏	cia5	
佉	佉	chia1	文讀
呿	呿	chia1	文讀
笡	笡	chia3	不正；斜；偏
趄	趄	chia3	「笡」也作「趄」
且	且	chia5	白讀 且顧
𢲶	𢲶	chia5	
髂	髂	chia5	文讀
伽	伽	jia2	
笳	笳	jia2	
茄	茄	jia2	
喳	喳	jia2	
弶	弶	jia2	又音 欺侮
岈	岈	shia1	
疨	疨	shia1	
谺	谺	shia1	
寫	写	shia3	
㕐	㕐	shia3	往杯子或碗裏傾倒
瀉	泻	shia3	「㕐」也作「瀉」
䥱	䥾	shia3	
閜	閜	shia3	
覀	覀	shia3	
瀉	泻	shia5	
𧓺	𧓺	shia5	
卸	卸	shia5	
傻	傻	shia5	僅限於「傻子」
襾	襾	shia5	文讀
罅	罅	shia5	文讀
𥕕	𥕕	shia5	文讀
下	下	shia5	新讀？
謑	謑	shia5	
斜	斜	zhia2	
邪	邪	zhia2	
衺	邪	zhia2	
抯	抯	zhia6	
謝	谢	zhia6	
褯	褯	zhia6	
躤	躤	zhia6	
榭	榭	zhia6	
㴬	㴬	zhia6	
霞	霞	ya2	文讀
瑕	瑕	ya2	文讀
遐	遐	ya2	文讀
赮	赮	ya2	文讀
蕸	蕸	ya2	文讀
騢	騢	ya2	文讀
鰕	𫚥	ya2	文讀
碬	碬	ya2	
鍜	鍜	ya2	
齖	齖	ya2	文讀
爺	爷	ya2	
邪	邪	ya2	古同「耶」
耶	耶	ya2	
椰	椰	ya2	
倻	倻	ya2	
鋣	铘	ya2	
瑘	瑘	ya2	
釾	䥺	ya2	
鎁	鎁	ya2	
擨	擨	ya2	
涯	涯	ya2	文讀
崖	崖	ya2	文讀
庌	庌	ya2	
猚	猚	ya2	
野	野	ya6	
埜	野	ya6	
壄	野	ya6	
也	也	ya6	白讀
厊	厊	ya6	
庌	庌	ya6	
懈	懈	ya6	白讀
亱	夜	ya6	
暇	暇	ya6	文讀
犽	犽	ya6	
夜	夜	ya6	
鵺	鵺	ya6	
鴉	鸦	ia1	文讀
鵶	鸦	ia1	文讀
訝	讶	ia1	文讀
迓	迓	ia1	文讀
䃁	䃁	ia1	文讀
錏	铔	ia1	文讀
霞	霞	ia1	文讀 又音
耶	耶	ia1	新讀？
椰	椰	ia1	新讀？
雅	雅	ia3	
亞	亚	ia5	文讀
亜	亚	ia5	文讀
婭	娅	ia5	文讀
玡	玡	ia5	文讀
氬	氩	ia5	化學元素
俹	俹	ia5	
稏	䅉	ia5	
呀	呀	ia5	
覀	覀	ia5	
呱	呱	kua1	
乖	乖	kua1	
䃶	䃶	kua1	
拐	拐	kua3	
柺	拐	kua3	
枴	拐	kua3	
𦫳	拐	kua3	古同「拐」
箉	箉	kua3	
寡	寡	kua3	文讀
剮	剐	kua3	文讀
夬	夬	kua5	
怪	怪	kua5	
恠	怪	kua5	
掛	挂	kua5	文讀
挂	挂	kua5	文讀
卦	卦	kua5	文讀
誇	夸	khua1	文讀
夸	夸	khua1	文讀
姱	姱	khua1	文讀
蒯	蒯	khua1	姓
垮	垮	khua3	文讀
侉	侉	khua3	文讀
跨	跨	khua5	文讀
挎	挎	khua5	
快	快	khua5	
噲	哙	khua5	
駃	𫘝	khua5	
凷	凷	khua5	
懷	怀	gua2	僅限於「懷裏」一詞
懐	怀	gua2	僅限於「懷裏」一詞
拐	拐	gua6	搖動；不穩而會搖擺
嘩	哗	hua1	
譁	哗	hua1	
歪	歪	hua3	
竵	歪	hua3	
咶	咶	hua5	
躛	躛	hua5	
還	还	wa2	還好
懷	怀	wa2	
懐	怀	wa2	
蘹	蘹	wa2	
𠿭	𠿭	wa2	耕地時吆喝牛停住的聲音
壞	坏	wa6	
壊	坏	wa6	
壞	坏	ua1	
壊	坏	ua1	
孬	孬	ua1	
歪	歪	ua1	文讀
竵	歪	ua1	文讀
窪	洼	ua1	
洼	洼	ua1	
蛙	蛙	ua1	文讀
鼃	蛙	ua1	文讀
娃	娃	ua1	文讀
媧	娲	ua1	
崴	崴	ua1	
溾	溾	ua1	
哇	哇	ua5	
褒	褒	pau1	
襃	褒	pau1	
勹	勹	pau1	
包	包	pau1	
胞	胞	pau1	
苞	苞	pau1	
孢	孢	pau1	
煲	煲	pau1	
㷛	煲	pau1	
佨	佨	pau1	
枹	枹	pau1	
葆	葆	pau3	
保	保	pau3	
堡	堡	pau3	
寶	宝	pau3	
寳	宝	pau3	
飽	饱	pau3	
怉	怉	pau3	
鴇	鸨	pau3	
堢	堢	pau3	
宲	宲	pau3	
珤	珤	pau3	
賲	賲	pau3	
駂	駂	pau3	
報	报	pau5	
豹	豹	pau5	
暴	暴	pau5	突然而來的大風
爆	爆	pau5	爆開
拋	抛	phau1	
脬	脬	phau1	
𣬢	𣬢	phau1	
𩆘	𩆘	phau1	
泡	泡	phau5	
𣶐	𣶐	phau5	
奅	奅	phau5	
皰	疱	phau5	
疱	疱	phau5	
炮	炮	phau5	
砲	炮	phau5	
礮	炮	phau5	
麭	麭	phau5	
跑	跑	phau5	僅限「跑春」、「跑馬燈」等詞
窌	窌	phau5	
炮	炮	bau2	炮製
炰	炮	bau2	炮製
袍	袍	bau2	
曝	曝	bau2	
爆	爆	bau2	爆炸
跑	跑	bau2	
爮	爮	bau2	
刨	刨	bau2	
庖	庖	bau2	
匏	匏	bau2	
鉋	铇	bau2	
咆	咆	bau2	
尥	尥	bau2	
狍	狍	bau2	
齙	龅	bau2	
麅	麅	bau2	
軳	軳	bau2	
袌	袌	bau2	
捊	捊	bau2	
瓟	瓟	bau2	
鞄	鞄	bau2	
麃	麃	bau2	
鮑	鲍	bau6	
抱	抱	bau6	
褓	褓	bau6	褓裙
緥	褓	bau6	褓裙
鞄	鞄	bau6	
骲	骲	bau6	
