繁體	简体	吳拼	備注
蚤	蚤	tsau3	
澡	澡	tsau3	
爪	爪	tsau3	
找	找	tsau3	
草	草	tshau3	
吵	吵	tshau3	
炒	炒	tshau3	
掃	扫	sau3	
嫂	嫂	sau3	
少	少	sau3	
稿	稿	kau3	
搞	搞	kau3	
考	考	khau3	
烤	烤	khau3	~肉，動詞
好	好	hau3	~壞
襖	袄	au3	
懊	懊	au3	~惱
抱	抱	bau4	
卯	卯	mau4	①表時辰：子醜寅~②器物接榫處。候分候~：不大不小剛好
道	道	dau4	
稻	稻	dau4	
老	老	lau4	
𤶁	𤶁	lau4	疙~：瘡疥
佬	佬	lau4	
皁	皂	zau4	
皂	皂	zau4	
造	造	zau4	
絞	绞	gau4	~絲，成S形。手~子：雙手交疊
咬	咬	ngau4	
報	报	pau5	
暴	暴	pau5	打~：指冬天颳大風
趵	趵	pau5	跳躍
炮	炮	phau5	
泡	泡	phau5	~飯，湯飯
𣶐	𣶐	phau5	~一~，在水中浸一浸或用開水沖洗一下
到	到	tau5	
倒	倒	tau5	~水
套	套	thau5	
躁	躁	tsau5	
竈	灶	tsau5	
灶	灶	tsau5	
笊	笊	tsau5	
罩	罩	tsau5	
糙	糙	tshau5	
耖	耖	tshau5	農具
掃	扫	sau5	名詞，~帚
稍	稍	sau5	
少	少	sau5	~年
𢜶	𢜶	sau5	急，快：豪~來，趕快來
告	告	kau5	
教	教	kau5	~書
覺	觉	kau5	睏~：睡覺
靠	靠	khau5	
烤	烤	khau5	~肉，菜名
鮳	鲓	khau5	小魚乾
耗	耗	hau5	
懊	懊	au5	~悔
扷	扷	au5	把食物放入磨孔或放進嘴裏，由上到下的動作
詏	詏	au5	誣陷：~儂一口。倒打一耙陷害人
鉋	铇	bau6	
爆	爆	bau6	
瀑	瀑	bau6	
暴	暴	bau6	
刨	刨	bau6	
雹	雹	bau6	
鮑	鲍	bau6	
曝	曝	bau6	
冒	冒	mau6	
帽	帽	mau6	
貌	貌	mau6	
旄	旄	mau6	
導	导	dau6	
盜	盗	dau6	
鬧	闹	nau6	
擱	搁	gau6	~牢：擱住，架住
傲	傲	ngau6	
鏊	鏊	ngau6	~盤
號	号	ghau6	~數
浩	浩	ghau6	
標	标	piau1	
彪	彪	piau1	
膘	膘	piau1	
飄	飘	phiau1	
