繁體	简体	吳拼	備注
肥	肥	vi2	文讀
微	微	vi2	
尾	尾	vi6	文讀
未	未	vi6	文讀
味	味	vi6	文讀
低	低	ti1	
堤	堤	ti1	
掂	掂	ti1	
顛	颠	ti1	
底	底	ti3	
抵	抵	ti3	
點	点	ti3	
㸃	点	ti3	
典	典	ti3	
帝	帝	ti5	
店	店	ti5	
梯	梯	thi1	文讀
添	添	thi1	
天	天	thi1	
體	体	thi3	
舔	舔	thi3	
腆	腆	thi3	
替	替	thi5	
涕	涕	thi5	
剃	剃	thi5	
屜	屉	thi5	
屉	屉	thi5	
掭	掭	thi5	
題	题	di2	
提	提	di2	
蹄	蹄	di2	
啼	啼	di2	
甜	甜	di2	
田	田	di2	
填	填	di2	
塡	填	di2	
弟	弟	di6	
第	第	di6	
遞	递	di6	
隸	隶	di6	奴隸，又音
地	地	di6	
電	电	di6	
殿	殿	di6	
奠	奠	di6	
佃	佃	di6	
墊	垫	di6	
驢	驴	li2	
犁	犁	li2	
黎	黎	li2	
籬	篱	li2	
璃	璃	li2	
梨	梨	li2	
釐	厘	li2	
狸	狸	li2	
廉	廉	li2	
鐮	镰	li2	
簾	帘	li2	
連	连	li2	
聯	联	li2	
憐	怜	li2	
蓮	莲	li2	
呂	吕	li6	
旅	旅	li6	
慮	虑	li6	
濾	滤	li6	
縷	缕	li6	
屢	屡	li6	又音
例	例	li6	
厲	厉	li6	
勵	励	li6	
禮	礼	li6	
麗	丽	li6	美麗
隸	隶	li6	
荔	荔	li6	
離	离	li6	
履	履	li6	
利	利	li6	
痢	痢	li6	
李	李	li6	
里	里	li6	
裏	裏	li6	
裡	裏	li6	
理	理	li6	
鯉	鲤	li6	
吏	吏	li6	
淚	泪	li6	
斂	敛	li6	
殮	殓	li6	
練	练	li6	
煉	炼	li6	
楝	楝	li6	楝樹
戀	恋	li6	
稽	稽	ci1	
飢	饥	ci1	
肌	肌	ci1	
基	基	ci1	
幾	几	ci1	幾乎
機	机	ci1	
譏	讥	ci1	
饑	饥	ci1	
尖	尖	ci1	
殲	歼	ci1	
沾	沾	ci1	
瞻	瞻	ci1	
兼	兼	ci1	
搛	搛	ci1	搛菜
艱	艰	ci1	
間	间	ci1	空間，中間，間斷
煎	煎	ci1	
氈	毡	ci1	
箋	笺	ci1	
肩	肩	ci1	
堅	坚	ci1	
擠	挤	ci3	
雞	鸡	ci3	
鷄	鸡	ci4	
几	几	ci3	茶几
己	己	ci3	
幾	几	ci3	幾個
檢	检	ci3	
簡	简	ci3	
柬	柬	ci3	
剪	剪	ci3	
展	展	ci3	
祭	祭	ci5	
際	际	ci5	
濟	济	ci5	
劑	剂	ci5	
計	计	ci5	
繼	继	ci5	
繫	系	ci5	繫鞋帶
髻	髻	ci5	
寄	寄	ci5	
冀	冀	ci5	
痣	痣	ci5	白讀
紀	纪	ci5	
記	记	ci5	
既	既	ci5	
季	季	ci5	
鑑	鉴	ci5	
鍳	鉴	ci5	
佔	占	ci5	
占	占	ci5	
劍	剑	ci5	
諫	谏	ci5	
澗	涧	ci5	
箭	箭	ci5	
濺	溅	ci5	
建	建	ci5	
薦	荐	ci5	
繭	茧	ci5	
趼	趼	ci5	
見	见	ci5	
鯽	鲫	ci5	又音
妻	妻	chi1	
棲	栖	chi1	
溪	溪	chi1	
欺	欺	chi1	
籤	签	chi1	
簽	签	chi1	
謙	谦	chi1	
遷	迁	chi1	
千	千	chi1	
牽	牵	chi1	
啓	启	chi3	
啟	启	chi3	
企	企	chi3	
起	起	chi3	
杞	杞	chi3	
豈	岂	chi3	
淺	浅	chi3	
遣	遣	chi3	
去	去	chi5	
砌	砌	chi5	
契	契	chi5	
碶	碶	chi5	
器	器	chi5	
棄	弃	chi5	
氣	气	chi5	
汽	汽	chi5	
欠	欠	chi5	
歉	歉	chi5	
其	其	ji2	他
齊	齐	ji2	文讀，如：齊國、姓
臍	脐	ji2	
池	池	ji2	白讀
奇	奇	ji2	
騎	骑	ji2	
歧	歧	ji2	
遲	迟	ji2	
祁	祁	ji2	
鰭	鳍	ji2	
其	其	ji2	
棋	棋	ji2	
期	期	ji2	
旗	旗	ji2	
祈	祈	ji2	
潛	潜	ji2	
鉗	钳	ji2	
錢	钱	ji2	
纏	缠	ji2	
乾	乾	ji2	乾坤
虔	虔	ji2	
犍	犍	ji2	
箸	箸	ji6	筷箸籠：存放筷子的器具
薺	荠	ji6	
技	技	ji6	
妓	妓	ji6	
忌	忌	ji6	
漸	渐	ji6	
儉	俭	ji6	
踐	践	ji6	
餞	饯	ji6	
件	件	ji6	
鍵	键	ji6	
健	健	ji6	
腱	腱	ji6	
圈	圈	ji6	豬圈間：豬圈
黏	黏	kni5	
粘	粘	kni5	
拈	拈	kni5	
泥	泥	gni2	
倪	倪	gni2	
宜	宜	gni2	
儀	仪	gni2	
尼	尼	gni2	
疑	疑	gni2	
沂	沂	gni2	
閻	阎	gni2	
嚴	严	gni2	
年	年	gni2	
研	研	gni2	
藝	艺	gni6	
蟻	蚁	gni6	
誼	谊	gni6	
義	义	gni6	
議	议	gni6	
二	二	gni6	
貳	贰	gni6	
膩	腻	gni6	
耳	耳	gni6	白讀，又音
你	你	gni6	文讀
擬	拟	gni6	
毅	毅	gni6	
尾	尾	gni6	白讀
染	染	gni6	
驗	验	gni6	
儼	俨	gni6	
釅	酽	gni6	釅茶
念	念	gni6	又音，舊
碾	碾	gni6	
輦	辇	gni6	
撚	撚	gni6	
攆	撵	gni6	
硯	砚	gni6	
西	西	shi1	
犀	犀	shi1	
奚	奚	shi1	
兮	兮	shi1	
犧	牺	shi1	
嬉	嬉	shi1	
熙	熙	shi1	
希	希	shi1	
稀	稀	shi1	
仙	仙	shi1	
鮮	鲜	shi1	
軒	轩	shi1	
掀	掀	shi1	
先	先	shi1	
洗	洗	shi3	
璽	玺	shi3	
徙	徙	shi3	
死	死	shi3	
喜	喜	shi3	
閃	闪	shi3	
險	险	shi3	
癬	癣	shi3	
顯	显	shi3	
細	细	shi5	
婿	婿	shi5	
系	系	shi5	
戲	戏	shi5	
線	线	shi5	
綫	线	shi5	
羶	膻	shi5	
扇	扇	shi5	
搧	扇	shi5	
憲	宪	shi5	
獻	献	shi5	
徐	徐	zhi2	
齊	齐	zhi2	白讀
前	前	zhi2	
係	系	zhi6	嘸納關係：不要緊，沒關係
自	自	zhi6	白讀
賤	贱	zhi6	
鋸	锯	ki1	白讀
甘	甘	ki1	
柑	柑	ki1	
泔	泔	ki1	泔水
干	干	ki1	
乾	干	ki1	
幹	干	ki1	
肝	肝	ki1	
狗	狗	ki3	黃狗，兒化音
感	感	ki3	
敢	敢	ki3	
竿	竿	ki3	
杆	杆	ki3	
稈	稈	ki3	
趕	赶	ki3	
侅	侅	khi1	很多
看	看	khi5	
移	移	yi2	
夷	夷	yi2	
姨	姨	yi2	
飴	饴	yi2	
遺	遗	yi2	
炎	炎	yi2	
鹽	盐	yi2	
檐	檐	yi2	
涎	涎	yi2	
焉	焉	yi2	心不在焉
延	延	yi2	
筵	筵	yi2	
言	言	yi2	
