繁體	简体	吳拼	備注
碶	碶	chi5	～門
去	去	chi5	白讀
蛆	蛆	chi5	～蟲
苧	苎	ji2	
薺	荠	ji2	
峙	峙	ji2	
臍	脐	ji2	
奇	奇	ji2	
騎	骑	ji2	
其	其	ji2	
棋	棋	ji2	
碁	棋	ji2	
期	期	ji2	
旗	旗	ji2	
祈	祈	ji2	
鰭	鳍	ji2	
嫉	嫉	ji2	
齊	齐	ji2	文讀
技	技	ji6	
痔	痔	ji6	
歧	歧	ji6	
妓	妓	ji6	
忌	忌	ji6	
崎	崎	ji6	
渠	渠	ji6	他
蟻	蚁	gni2	
義	义	gni2	
誼	谊	gni2	
疑	疑	gni2	
霓	霓	gni2	
泥	泥	gni2	
宜	宜	gni2	
尼	尼	gni2	
擬	拟	gni2	
膩	腻	gni2	
呢	呢	gni2	
倪	倪	gni2	姓
尾	尾	gni2	白讀 ～巴
議	议	gni6	
儀	仪	gni6	
藝	艺	gni6	
毅	毅	gni6	
貳	贰	gni6	
二	二	gni6	白讀
耳	耳	gni6	白讀
西	西	shi1	
犧	牺	shi1	
希	希	shi1	
稀	稀	shi1	
嬉	嬉	shi1	
熙	熙	shi1	
璽	玺	shi1	
徙	徙	shi1	
髓	髓	shi1	
犀	犀	shi1	
世	世	shi1	白讀
洗	洗	shi3	
喜	喜	shi3	
死	死	shi3	白讀
細	细	shi5	
婿	婿	shi5	
戲	戏	shi5	
絮	絮	shi5	白讀 棉花～
徐	徐	zhi2	
齊	齐	zhi2	白讀
餘	余	zhi2	姓
自	自	zhi6	白讀 ～家人
鋸	锯	ki5	白讀
兮	兮	yi2	
遺	遗	yi2	
姨	姨	yi2	
矣	矣	yi2	
夷	夷	yi2	
異	异	yi2	
肄	肄	yi2	
胰	胰	yi2	
移	移	yi2	
頤	颐	yi2	
繫	系	yi2	聯～
易	易	yi2	容～
奚	奚	yi6	
又	又	yi6	白讀 ～來啦
依	依	i1	
醫	医	i1	
伊	伊	i1	
衣	衣	i1	
倚	倚	i3	
已	已	i3	
以	以	i3	
椅	椅	i3	
意	意	i5	
蔫	蔫	i5	不新鮮
譜	谱	pu3	
補	补	pu3	
布	布	pu5	
怖	怖	pu5	
鋪	铺	phu1	～陳
普	普	phu3	
浦	浦	phu3	
圃	圃	phu3	
潽	潽	phu5	水沸
鋪	铺	phu5	～板
菩	菩	bu2	
葡	葡	bu2	
匍	匍	bu2	
蒲	蒲	bu2	
荸	荸	bu2	～薺
脯	脯	bu2	胸～
部	部	bu6	
簿	簿	bu6	
捕	捕	bu6	
哺	哺	bu6	
步	步	bu6	
埠	埠	bu6	
孵	孵	bu6	
殕	殕	bu6	白黴
呼	呼	fu1	
夫	夫	fu1	
膚	肤	fu1	
敷	敷	fu1	
俘	俘	fu1	
麩	麸	fu1	
甫	甫	fu1	
脯	脯	fu1	果～
府	府	fu3	
俯	俯	fu3	
腑	腑	fu3	
虎	虎	fu3	
滸	浒	fu3	
斧	斧	fu3	
釜	釜	fu3	
付	付	fu5	
賦	赋	fu5	
赴	赴	fu5	
訃	讣	fu5	
副	副	fu5	
富	富	fu5	
傅	傅	fu5	
湖	湖	vu2	
壺	壶	vu2	
乎	乎	vu2	
瓠	瓠	vu2	
葫	葫	vu2	
蕪	芜	vu2	
婦	妇	vu2	
巫	巫	vu2	
蝴	蝴	vu2	
弧	弧	vu2	
狐	狐	vu2	
糊	糊	vu2	
滬	沪	vu2	
浮	浮	vu2	文讀
吳	吴	vu2	文讀
胡	胡	vu2	～琴
務	务	vu6	
戶	户	vu6	
戸	户	vu6	
户	户	vu6	
伍	伍	vu6	
午	午	vu6	
腐	腐	vu6	
輔	辅	vu6	
武	武	vu6	
舞	舞	vu6	
侮	侮	vu6	
鵡	鹉	vu6	
父	父	vu6	
互	互	vu6	
符	符	vu6	
扶	扶	vu6	
芙	芙	vu6	
撫	抚	vu6	
誣	诬	vu6	
護	护	vu6	
附	附	vu6	
霧	雾	vu6	
戊	戊	vu6	
五	五	vu6	文讀
無	无	vu6	文讀
都	都	tu1	
堵	堵	tu3	
賭	赌	tu3	
睹	睹	tu3	
肚	肚	tu3	豬～
妒	妒	tu5	
土	土	thu3	
唾	唾	thu3	涎～
吐	吐	thu3	～痰
兔	兔	thu5	
堍	堍	thu5	～頭
吐	吐	thu5	嘔～
徒	徒	du2	
屠	屠	du2	
途	途	du2	
塗	涂	du2	
塗	涂	du2	
圖	图	du2	
度	度	du6	
渡	渡	du6	
鍍	镀	du6	
杜	杜	du6	
肚	肚	du6	～皮
努	努	nu6	
奴	奴	nu6	
娛	娱	nu6	
怒	怒	nu6	
悟	悟	nu6	
誤	误	nu6	
梧	梧	nu6	
弩	弩	nu6	
吾	吾	nu6	
晤	晤	nu6	
盧	卢	lu2	
爐	炉	lu2	
蘆	芦	lu2	
鸕	鸬	lu2	
廬	庐	lu2	
驢	驴	lu2	
路	路	lu6	
露	露	lu6	
鷺	鹭	lu6	
魯	鲁	lu6	
櫓	橹	lu6	
滷	卤	lu6	
鹵	卤	lu6	
租	租	tsu1	
祖	祖	tsu3	
組	组	tsu3	
阻	阻	tsu3	
詛	诅	tsu3	
粗	粗	tshu1	
初	初	tshu1	
楚	楚	tshu1	
礎	础	tshu1	
醋	醋	tshu5	
措	措	tshu5	
助	助	dzu6	
鋤	锄	dzu6	
蘇	苏	su1	
蔬	蔬	su1	
疏	疏	su1	
酥	酥	su1	
鬚	须	su1	牙～
數	数	su3	文讀 ～一～
素	素	su5	
塑	塑	su5	泥～木雕
訴	诉	su5	
數	数	su5	～目
姑	姑	ku1	
孤	孤	ku1	
古	古	ku3	
估	估	ku3	
股	股	ku3	
鼓	鼓	ku3	
牯	牯	ku3	
故	故	ku5	
固	固	ku5	
僱	雇	ku5	
辜	辜	ku5	
顧	顾	ku5	
枯	枯	khu1	
骷	骷	khu1	
苦	苦	khu3	
庫	库	khu5	
褲	裤	khu5	
絝	绔	khu5	
咕	咕	gu2	～～鳥叫
跍	跍	gu2	蹲下
烏	乌	u1	
污	污	u1	
嗚	呜	u1	
衣	衣	u1	
熓	𤆡	u3	火熄
椅	椅	u3	
塢	坞	u5	
惡	恶	u5	可～
焐	焐	u5	煨
居	居	ciu1	
拘	拘	ciu1	
駒	驹	ciu1	
龜	龟	ciu1	白讀
歸	归	ciu1	白讀 ～家
車	车	ciu1	～馬炮
矩	矩	ciu3	
舉	举	ciu3	
鬼	鬼	ciu3	白讀
據	据	ciu5	
句	句	ciu5	
鋸	锯	ciu5	文讀
貴	贵	ciu5	白讀
區	区	chiu1	
驅	驱	chiu1	
軀	躯	chiu1	
蛆	蛆	chiu1	文讀
虧	亏	chiu5	白讀 ～了
去	去	chiu5	文讀
距	距	jiu6	
炬	炬	jiu6	
具	具	jiu6	
瞿	瞿	jiu6	
巨	巨	jiu6	
拒	拒	jiu6	
俱	俱	jiu6	
懼	惧	jiu6	
衢	衢	jiu6	
攫	攫	jiu6	
跪	跪	jiu6	白讀
櫃	柜	jiu6	白讀
渠	渠	jiu6	水～
語	语	gniu2	
虞	虞	gniu2	姓
愚	愚	gniu2	
禺	禺	gniu2	
女	女	gniu6	
遇	遇	gniu6	
寓	寓	gniu6	
餌	饵	gniu6	～頭
蕊	蕊	gniu6	白讀 ～頭 蓓蕾
虛	虚	shiu1	
噓	嘘	shiu1	
墟	墟	shiu1	
靴	靴	shiu1	
鞾	靴	shiu1	
許	许	shiu3	
與	与	yu2	
宇	宇	yu2	
禹	禹	yu2	
輿	舆	yu2	
盂	盂	yu2	
籲	吁	yu2	
竽	竽	yu2	
余	余	yu2	我
餘	余	yu2	
漁	渔	yu2	
榆	榆	yu2	
愉	愉	yu2	
豫	豫	yu2	
喻	喻	yu2	
裕	裕	yu2	
逾	逾	yu2	
渝	渝	yu2	
愈	愈	yu2	
諭	谕	yu2	
魚	鱼	yu2	文讀
圍	围	yu2	白讀
羽	羽	yu6	
譽	誉	yu6	
雨	雨	yu6	
預	预	yu6	
御	御	yu6	
予	予	yu6	
于	于	iu1	
於	於	iu1	
迂	迂	iu1	
淤	淤	iu5	
瘀	瘀	iu5	
喂	喂	iu5	白讀 ～飯
蛛	蛛	tsyu1	
朱	朱	tsyu1	
珠	珠	tsyu1	
知	知	tsyu1	
智	智	tsyu1	
株	株	tsyu1	
諸	诸	tsyu1	
致	致	tsyu1	
侏	侏	tsyu1	
疰	疰	tsyu1	～夏
蜘	蜘	tsyu1	文讀
錐	锥	tsyu1	白讀 ～鞋
豬	猪	tsyu3	
主	主	tsyu3	
嘴	嘴	tsyu3	
拄	拄	tsyu5	
著	著	tsyu5	
蛀	蛀	tsyu5	
注	注	tsyu5	
鑄	铸	tsyu5	
制	制	tsyu5	
置	置	tsyu5	
誅	诛	tsyu5	
駐	驻	tsyu5	
癡	痴	tshyu1	
媸	媸	tshyu1	
嗤	嗤	tshyu1	
侈	侈	tshyu1	
趣	趣	tshyu1	
趨	趋	tshyu1	
糍	糍	tshyu1	～飯
餈	餈	tshyu1	～飯
吹	吹	tshyu1	白讀
取	取	tshyu3	
娶	娶	tshyu3	
鼠	鼠	tshyu3	文讀
處	处	tshyu3	相～
恥	耻	tshyu5	
處	处	tshyu5	～所
除	除	dzyu2	
池	池	dzyu2	
持	持	dzyu2	
遲	迟	dzyu2	
馳	驰	dzyu2	
弛	弛	dzyu2	
廚	厨	dzyu2	
住	住	dzyu2	
治	治	dzyu2	
稚	稚	dzyu2	
櫥	橱	dzyu2	
捶	捶	dzyu2	白讀 ～背
錘	锤	dzyu2	白讀 秤～
滯	滞	dzyu6	～底
柱	柱	dzyu6	
槌	槌	dzyu6	白讀 甩鑼～
垂	垂	dzyu6	白讀 ～落
書	书	syu1	
舒	舒	syu1	
需	需	syu1	
暑	暑	syu1	
豕	豕	syu1	
黍	黍	syu1	
尿	尿	syu1	白讀
歲	岁	syu1	白讀
須	须	syu1	必～
輸	输	syu1	運～
水	水	syu3	白讀
數	数	syu3	白讀 ～一～
庶	庶	syu5	
恕	恕	syu5	
勢	势	syu5	
貰	贳	syu5	
絮	絮	syu5	文讀
世	世	syu5	文讀
輸	输	syu5	～贏
如	如	zyu2	
殊	殊	zyu2	
抒	抒	zyu2	
茹	茹	zyu2	
曙	曙	zyu2	
墅	墅	zyu2	
乳	乳	zyu2	
汝	汝	zyu2	
儒	儒	zyu2	
孺	孺	zyu2	
誰	谁	zyu2	白讀 ～儂
樹	树	zyu2	～立
敘	叙	zyu6	
聚	聚	zyu6	
儲	储	zyu6	
序	序	zyu6	
緒	绪	zyu6	
署	署	zyu6	
薯	薯	zyu6	
豉	豉	zyu6	豆～
貯	贮	zyu6	
豎	竖	zyu6	
樹	树	zyu6	～木
擺	摆	pa3	
叭	叭	pa3	
拜	拜	pa5	
湃	湃	pa5	
派	派	pha5	
排	排	ba2	
牌	牌	ba2	
徘	徘	ba2	
敗	败	ba6	
罷	罢	ba6	～了
埋	埋	ma2	白讀
買	买	ma6	
賣	卖	ma6	
帶	带	ta5	
戴	戴	ta5	白讀
他	他	tha1	
汰	汰	tha1	
太	太	tha5	
泰	泰	tha5	
埭	埭	da2	走一～
大	大	da6	文讀
奶	奶	na6	～粉
奈	奈	na6	白讀
那	那	nha5	
賴	赖	la6	白讀
癩	癞	la6	
喇	喇	la6	
拉	拉	lha5	
齋	斋	tsa1	
追	追	tsa1	白讀
債	债	tsa5	
蔡	蔡	tsha1	姓
差	差	tsha1	～使
怎	怎	dza1	白讀
咋	咋	dza1	怎麼
撒	撒	dza1	～尿
曬	晒	sa1	
灑	洒	sa3	
豺	豺	za2	
寨	寨	za2	
柴	柴	za2	
街	街	ka1	
階	阶	ka1	白讀
解	解	ka3	～決
界	界	ka5	
芥	芥	ka5	
戒	戒	ka5	
尬	尬	ka5	尷～
疥	疥	ka5	
介	介	ka5	白讀
屆	届	ka5	白讀
隘	隘	ka5	地名
揩	揩	kha1	
楷	楷	kha1	
卡	卡	kha1	
嘎	嘎	ga2	
解	解	ga6	鋸開
外	外	nga6	白讀
雁	雁	nga6	白讀 ～鵝
挨	挨	nga6	～辰光
